Name,Length,EffectiveLength,TPM,NumReads
ENSCAFT00000065993,423,155.79,3357.531105,5738.757
ENSCAFT00000083764,825,555.508,0.830846,5.064
ENSCAFT00000057791,906,636.486,103.550064,723.1
ENSCAFT00000046972,107,107,0,0
ENSCAFT00000055312,768,498.533,2.376789,13
ENSCAFT00000088264,1134,864.476,0.421743,4
ENSCAFT00000084828,1128,858.476,0,0
ENSCAFT00000060733,1081,811.476,0,0
ENSCAFT00000045196,2455,2185.476,0,0
ENSCAFT00000027733,273,42.327,0,0
ENSCAFT00000018657,1053,783.476,5.002462,43
ENSCAFT00000018660,1340,1070.476,27.67244,325
ENSCAFT00000018666,879,609.489,18.244612,122
ENSCAFT00000064025,3885,3615.476,0,0
ENSCAFT00000067672,3765,3495.476,0.465137,17.838
ENSCAFT00000074763,3711,3441.476,0.210018,7.93
ENSCAFT00000018685,3801,3531.476,5.374101,208.219
ENSCAFT00000018691,3648,3378.476,0.13524,5.013
ENSCAFT00000086808,3600,3330.476,0,0
ENSCAFT00000082187,255,35.159,0,0
ENSCAFT00000047966,1161,891.476,0,0
ENSCAFT00000061445,1321,1051.476,0,0
ENSCAFT00000062342,1441,1171.476,0,0
ENSCAFT00000018747,1384,1114.476,0,0
ENSCAFT00000090052,1264,994.476,0,0
ENSCAFT00000081800,1179,909.476,0,0
ENSCAFT00000050109,1466,1196.476,13.407558,176
ENSCAFT00000018769,705,435.579,0,0
ENSCAFT00000054403,1138,868.476,0,0
ENSCAFT00000090015,847,577.498,0,0
ENSCAFT00000033692,107,107,0,0
ENSCAFT00000018822,1470,1200.476,0,0
ENSCAFT00000069438,1470,1200.476,0,0
ENSCAFT00000018836,2945,2675.476,1.423515,41.785
ENSCAFT00000078871,2810,2540.476,0,0
ENSCAFT00000082562,4289,4019.476,0.186282,8.215
ENSCAFT00000018876,1557,1287.476,6.264557,88.489
ENSCAFT00000049785,1461,1191.476,11.054958,144.511
ENSCAFT00000018906,1096,826.476,0,0
ENSCAFT00000087837,1370,1100.476,0,0
ENSCAFT00000018938,1433,1163.476,0.104668,1.336
ENSCAFT00000078959,2740,2470.476,1.19116,32.286
ENSCAFT00000048877,948,678.483,0,0
ENSCAFT00000066042,753,483.543,1.202284,6.378
ENSCAFT00000018967,1617,1347.476,6.08783,90
ENSCAFT00000019023,1346,1076.476,139.37081,1646.02
ENSCAFT00000091599,1454,1184.476,1.220145,15.856
ENSCAFT00000062447,2908,2638.476,0,0
ENSCAFT00000078263,3116,2846.476,0.218356,6.819
ENSCAFT00000019171,2350,2080.476,1.146995,26.181
ENSCAFT00000050182,2918,2648.476,0,0
ENSCAFT00000019262,2431,2161.476,0,0
ENSCAFT00000066545,2353,2083.476,0.131242,3
ENSCAFT00000070501,2645,2375.476,0,0
ENSCAFT00000071783,754,484.542,0,0
ENSCAFT00000081503,1519,1249.476,0,0
ENSCAFT00000019271,1559,1289.476,0,0
ENSCAFT00000075130,727,457.559,0,0
ENSCAFT00000078759,681,411.608,0.22144,1
ENSCAFT00000045719,345,86.586,0,0
ENSCAFT00000048474,1165,895.476,0.123288,1.211
ENSCAFT00000019334,1048,778.476,45.169511,385.789
ENSCAFT00000065884,513,244.07,0.374764,1.004
ENSCAFT00000019366,1053,783.476,2.833806,24.359
ENSCAFT00000019389,1395,1125.476,18.302618,226
ENSCAFT00000019414,1023,753.476,107.482755,888.52
ENSCAFT00000084749,483,214.347,0,0
ENSCAFT00000073527,483,214.347,34.113587,80.224
ENSCAFT00000051422,1002,732.476,0.124436,1
ENSCAFT00000019465,372,108.866,5.948397,7.105
ENSCAFT00000019488,3430,3160.476,0.576791,20
ENSCAFT00000079674,267,39.771,0,0
ENSCAFT00000033117,103,103,0,0
ENSCAFT00000065114,2054,1784.476,0,0
ENSCAFT00000019819,2175,1905.476,18.368291,384
ENSCAFT00000086508,2244,1974.476,0,0
ENSCAFT00000076982,1942,1672.476,0,0
ENSCAFT00000046135,240,30.133,0,0
ENSCAFT00000036544,1123,853.476,112.071137,1049.407
ENSCAFT00000020052,1810,1540.476,10.295213,174
ENSCAFT00000092817,1735,1465.476,0,0
ENSCAFT00000078155,1932,1662.476,0,0
ENSCAFT00000043168,107,107,0,0
ENSCAFT00000020227,1787,1517.476,0.329813,5.491
ENSCAFT00000020249,1963,1693.476,164.185301,3050.509
ENSCAFT00000036790,2542,2272.476,0,0
ENSCAFT00000020265,3040,2770.476,2.631944,80
ENSCAFT00000060337,309,61.326,0,0
ENSCAFT00000090182,848,578.498,0,0
ENSCAFT00000080608,1354,1084.476,0,0
ENSCAFT00000070218,1122,852.476,0.74844,7
ENSCAFT00000062308,1570,1300.476,0,0
ENSCAFT00000080587,388,123.061,0,0
ENSCAFT00000091495,497,228.199,0,0
ENSCAFT00000093357,1528,1258.476,0.808981,11.17
ENSCAFT00000078218,4887,4617.476,1.454117,73.665
ENSCAFT00000020268,4431,4161.476,6.380956,291.335
ENSCAFT00000044179,4623,4353.476,0,0
ENSCAFT00000092143,4338,4068.476,0,0
ENSCAFT00000043097,1427,1157.476,0,0
ENSCAFT00000079705,2082,1812.476,0,0
ENSCAFT00000020276,1563,1293.476,0,0
ENSCAFT00000063266,1106,836.476,0,0
ENSCAFT00000071045,1047,777.476,0,0
ENSCAFT00000060786,529,259.984,0,0
ENSCAFT00000068979,544,274.914,0,0
ENSCAFT00000053689,333,77.521,0,0
ENSCAFT00000066519,899,629.487,0,0
ENSCAFT00000076925,123,123,0,0
ENSCAFT00000058102,891,621.487,0,0
ENSCAFT00000088912,2025,1755.476,0,0
ENSCAFT00000020283,2734,2464.476,0,0
ENSCAFT00000077316,2818,2548.476,0,0
ENSCAFT00000079272,2869,2599.476,0,0
ENSCAFT00000086661,2974,2704.476,0,0
ENSCAFT00000046770,3598,3328.476,2.02289,73.871
ENSCAFT00000082753,4327,4057.476,0.184851,8.229
ENSCAFT00000086727,4200,3930.476,0.093102,4.015
ENSCAFT00000063693,1247,977.476,1.294728,13.885
ENSCAFT00000020307,1941,1671.476,0,0
ENSCAFT00000033607,107,107,0,0
ENSCAFT00000034763,154,2.533,0,0
ENSCAFT00000085213,3127,2857.476,0,0
ENSCAFT00000088068,3331,3061.476,0.686091,23.045
ENSCAFT00000020338,3109,2839.476,0.86526,26.955
ENSCAFT00000080517,3277,3007.476,0,0
ENSCAFT00000071596,798,528.519,0.172457,1
ENSCAFT00000043309,642,372.662,0,0
ENSCAFT00000020353,675,405.619,0,0
ENSCAFT00000020404,2577,2307.476,0,0
ENSCAFT00000084375,2391,2121.476,0,0
ENSCAFT00000085873,2427,2157.476,0,0
ENSCAFT00000083209,2285,2015.476,0.497458,11
ENSCAFT00000077519,2874,2604.476,0,0
ENSCAFT00000083701,7158,6888.476,0.048808,3.689
ENSCAFT00000088524,5192,4922.476,0,0
ENSCAFT00000089779,5246,4976.476,1.256164,68.585
ENSCAFT00000020564,4676,4406.476,4.27608,206.727
ENSCAFT00000020607,5269,4999.476,3.147643,172.651
ENSCAFT00000064302,5299,5029.476,1.70895,94.3
ENSCAFT00000072433,5341,5071.476,16.040997,892.534
ENSCAFT00000075597,5275,5005.476,0.21197,11.641
ENSCAFT00000079848,4984,4714.476,0.773131,39.989
ENSCAFT00000087156,5293,5023.476,0,0
ENSCAFT00000079495,3617,3347.476,0,0
ENSCAFT00000042713,100,100,0,0
ENSCAFT00000085735,271,41.449,0,0
ENSCAFT00000075751,389,123.967,0,0
ENSCAFT00000061798,550,280.889,0,0
ENSCAFT00000082812,790,520.524,0,0
ENSCAFT00000062210,1096,826.476,0,0
ENSCAFT00000089858,751,481.545,0,0
ENSCAFT00000075455,1650,1380.476,0,0
ENSCAFT00000072059,606,336.731,0,0
ENSCAFT00000062339,1125,855.476,0,0
ENSCAFT00000065934,711,441.573,0,0
ENSCAFT00000082813,1482,1212.476,0,0
ENSCAFT00000020698,1509,1239.476,63.552519,864.231
ENSCAFT00000070078,1380,1110.476,91.559504,1115.505
ENSCAFT00000075066,949,679.482,0,0
ENSCAFT00000020727,4090,3820.476,0,0
ENSCAFT00000078314,94,94,0,0
ENSCAFT00000065820,1626,1356.476,43.820643,652.154
ENSCAFT00000062003,2464,2194.476,0,0
ENSCAFT00000020758,2480,2210.476,17.159567,416.151
ENSCAFT00000061657,2486,2216.476,1.062713,25.843
ENSCAFT00000071057,2555,2285.476,0,0
ENSCAFT00000072263,2615,2345.476,0,0
ENSCAFT00000086084,2172,1902.476,0,0
ENSCAFT00000061628,1162,892.476,0,0
ENSCAFT00000020774,2179,1909.476,2.529224,52.986
ENSCAFT00000088353,2023,1753.476,0.260635,5.014
ENSCAFT00000092240,1999,1729.476,0,0
ENSCAFT00000020770,2463,2193.476,0,0
ENSCAFT00000061020,2177,1907.476,0,0
ENSCAFT00000046511,107,107,0,0
ENSCAFT00000020802,2388,2118.476,0,0
ENSCAFT00000043123,2382,2112.476,0.302028,7
ENSCAFT00000083319,2292,2022.476,0,0
ENSCAFT00000078437,1971,1701.476,0.426237,7.957
ENSCAFT00000020937,2472,2202.476,30.085984,727
ENSCAFT00000078462,2454,2184.476,0,0
ENSCAFT00000044605,744,474.55,93.638749,487.524
ENSCAFT00000066703,693,423.592,0,0
ENSCAFT00000072184,677,407.616,61.593168,275.45
ENSCAFT00000060617,465,196.589,0,0
ENSCAFT00000076188,391,125.783,0,0
ENSCAFT00000072444,393,127.612,0,0
ENSCAFT00000033805,100,100,0,0
ENSCAFT00000074941,906,636.486,0,0
ENSCAFT00000062147,2697,2427.476,0,0
ENSCAFT00000088543,2046,1776.476,0,0
ENSCAFT00000021025,3724,3454.476,0,0
ENSCAFT00000050117,3634,3364.476,0.162545,6
ENSCAFT00000021032,1956,1686.476,0,0
ENSCAFT00000021037,782,512.529,0,0
ENSCAFT00000048016,2037,1767.476,31.096019,603
ENSCAFT00000088130,1737,1467.476,0,0
ENSCAFT00000021054,1760,1490.476,0,0
ENSCAFT00000021098,1268,998.476,195.749287,2144.355
ENSCAFT00000087525,1112,842.476,0,0
ENSCAFT00000080427,1587,1317.476,0.160236,2.316
ENSCAFT00000040154,102,102,0,0
ENSCAFT00000021157,2975,2705.476,0,0
ENSCAFT00000090478,2846,2576.476,0.373291,10.552
ENSCAFT00000084054,2346,2076.476,0.414722,9.448
ENSCAFT00000078702,1352,1082.476,0,0
ENSCAFT00000081809,1105,835.476,0,0
ENSCAFT00000067588,401,135.009,0,0
ENSCAFT00000087836,1082,812.476,0.112184,1
ENSCAFT00000063510,1142,872.476,0,0
ENSCAFT00000087030,615,345.712,0,0
ENSCAFT00000093890,1033,763.476,0,0
ENSCAFT00000090566,1425,1155.476,0,0
ENSCAFT00000067642,1523,1253.476,0.148102,2.037
ENSCAFT00000086647,2150,1880.476,0,0
ENSCAFT00000076067,2014,1744.476,0,0
ENSCAFT00000077431,1862,1592.476,0,0
ENSCAFT00000074392,1257,987.476,0,0
ENSCAFT00000070464,3306,3036.476,0.495154,16.496
ENSCAFT00000077570,927,657.485,0,0
ENSCAFT00000067483,1081,811.476,0,0
ENSCAFT00000084402,715,445.569,0,0
ENSCAFT00000081084,715,445.569,0,0
ENSCAFT00000085343,667,397.626,0,0
ENSCAFT00000021196,3344,3074.476,3.231442,109
ENSCAFT00000068028,861,591.492,0,0
ENSCAFT00000074208,700,430.584,0,0
ENSCAFT00000040676,102,102,0,0
ENSCAFT00000082711,1213,943.476,0,0
ENSCAFT00000090560,1172,902.476,3.378703,33.454
ENSCAFT00000081443,1127,857.476,115.571357,1087.254
ENSCAFT00000021224,1082,812.476,197.381173,1759.443
ENSCAFT00000021248,1849,1579.476,1.546942,26.807
ENSCAFT00000050116,1876,1606.476,145.12131,2557.787
ENSCAFT00000086560,1008,738.476,5.003778,40.541
ENSCAFT00000090615,925,655.485,0,0
ENSCAFT00000043714,770,500.532,139.769681,767.545
ENSCAFT00000075273,903,633.486,96.119963,668.051
ENSCAFT00000069432,1145,875.476,0,0
ENSCAFT00000021253,1127,857.476,1.062965,10
ENSCAFT00000021261,2014,1744.476,5.330051,102.013
ENSCAFT00000065137,2298,2028.476,7.098925,157.987
ENSCAFT00000064550,2281,2011.476,0,0
ENSCAFT00000021310,1788,1518.476,248.343471,4137.325
ENSCAFT00000033378,106,106,0,0
ENSCAFT00000040320,100,100,0,0
ENSCAFT00000021277,2433,2163.476,14.896348,353.583
ENSCAFT00000071707,2289,2019.476,0.217989,4.83
ENSCAFT00000074753,2292,2022.476,0.206748,4.588
ENSCAFT00000074960,2283,2013.476,0,0
ENSCAFT00000078713,724,454.561,0.200516,1
ENSCAFT00000039052,2190,1920.476,0,0
ENSCAFT00000046734,2094,1824.476,0,0
ENSCAFT00000069890,1641,1371.476,0,0
ENSCAFT00000021315,2355,2085.476,0,0
ENSCAFT00000042876,2445,2175.476,0,0
ENSCAFT00000052924,1642,1372.476,0,0
ENSCAFT00000052284,91,91,0,0
ENSCAFT00000071059,1445,1175.476,0,0
ENSCAFT00000062021,350,90.529,0,0
ENSCAFT00000090204,955,685.482,0,0
ENSCAFT00000078430,803,533.516,0,0
ENSCAFT00000086219,860,590.492,0,0
ENSCAFT00000040601,87,87,0,0
ENSCAFT00000021385,1598,1328.476,74.9221,1092
ENSCAFT00000066628,1496,1226.476,0,0
ENSCAFT00000038380,993,723.476,0.278878,2.214
ENSCAFT00000021395,1050,780.476,13.054809,111.786
ENSCAFT00000065553,1110,840.476,0,0
ENSCAFT00000062556,1323,1053.476,0,0
ENSCAFT00000021463,5557,5287.476,13.755992000000001,797.993
ENSCAFT00000084491,5284,5014.476,0,0
ENSCAFT00000087951,5467,5197.476,0.71912,41.007
ENSCAFT00000041849,129,129,0,0
ENSCAFT00000021479,1824,1554.476,0,0
ENSCAFT00000048909,1662,1392.476,0,0
ENSCAFT00000057467,1543,1273.476,0,0
ENSCAFT00000021488,333,77.521,0,0
ENSCAFT00000021498,2292,2022.476,3.379259,74.983
ENSCAFT00000064556,1247,977.476,0,0
ENSCAFT00000073757,180,12.531,0,0
ENSCAFT00000091588,1291,1021.476,0,0
ENSCAFT00000084759,125,125,0,0
ENSCAFT00000021519,378,114.112,0.798794,1
ENSCAFT00000021534,1038,768.476,0,0
ENSCAFT00000041122,137,2.299,0,0
ENSCAFT00000063317,2223,1953.476,2.331973,49.979
ENSCAFT00000076887,1294,1024.476,0,0
ENSCAFT00000080602,1505,1235.476,0,0
ENSCAFT00000072063,1642,1372.476,0,0
ENSCAFT00000075825,818,548.512,0,0
ENSCAFT00000082654,3721,3451.476,0,0
ENSCAFT00000040104,107,107,0,0
ENSCAFT00000066648,858,588.492,0,0
ENSCAFT00000073693,974,704.477,0,0
ENSCAFT00000036188,1023,753.476,0,0
ENSCAFT00000021538,1062,792.476,0,0
ENSCAFT00000056927,386,121.25,0,0
ENSCAFT00000074064,340,82.738,0,0
ENSCAFT00000009591,495,226.218,0,0
ENSCAFT00000041281,114,114,0,0
ENSCAFT00000055666,562,292.846,0,0
ENSCAFT00000089950,461,192.664,0,0
ENSCAFT00000021550,2076,1806.476,0,0
ENSCAFT00000021554,510,241.092,0,0
ENSCAFT00000078507,624,354.695,0,0
ENSCAFT00000083593,641,371.663,0,0
ENSCAFT00000059710,463,194.624,0,0
ENSCAFT00000021556,1440,1170.476,0,0
ENSCAFT00000021962,1044,774.476,0,0
ENSCAFT00000073951,104,104,0,0
ENSCAFT00000063156,1050,780.476,0.23397,2.003
ENSCAFT00000046498,1654,1384.476,13.452855,204.343
ENSCAFT00000060949,162,5.784,0,0
ENSCAFT00000052540,655,385.646,0,0
ENSCAFT00000081759,553,283.877,0.963235,3
ENSCAFT00000021628,2091,1821.476,0.30024,6
ENSCAFT00000021635,1557,1287.476,0,0
ENSCAFT00000040574,70,70,0,0
ENSCAFT00000040225,80,80,0,0
ENSCAFT00000091222,360,98.671,0,0
ENSCAFT00000081984,390,124.874,0,0
ENSCAFT00000081510,839,569.5,0,0
ENSCAFT00000067482,1047,777.476,0,0
ENSCAFT00000076463,1035,765.476,0,0
ENSCAFT00000083449,390,124.874,0.72991,1
ENSCAFT00000064163,1026,756.476,0.120489,1
ENSCAFT00000090989,1958,1688.476,0,0
ENSCAFT00000021662,1896,1626.476,0,0
ENSCAFT00000073707,421,153.876,0,0
ENSCAFT00000061587,1002,732.476,0,0
ENSCAFT00000083014,169,8.55,0,0
ENSCAFT00000079837,420,152.923,0,0
ENSCAFT00000044885,104,104,0,0
ENSCAFT00000085836,2028,1758.476,0.091147,1.758
ENSCAFT00000075346,2440,2170.476,8.913866,212.266
ENSCAFT00000070833,1747,1477.476,0,0
ENSCAFT00000021774,1894,1624.476,4.647022,82.822
ENSCAFT00000038078,1771,1501.476,0.715583,11.788
ENSCAFT00000067720,1909,1639.476,0,0
ENSCAFT00000061266,681,411.608,0,0
ENSCAFT00000021814,2424,2154.476,9.229552,218.163
ENSCAFT00000078652,2340,2070.476,0,0
ENSCAFT00000081545,2238,1968.476,0,0
ENSCAFT00000084896,2322,2052.476,3.012513,67.837
ENSCAFT00000059622,2367,2097.476,0,0
ENSCAFT00000078071,2860,2590.476,0,0
ENSCAFT00000062196,369,106.283,0,0
ENSCAFT00000075776,5468,5198.476,5.446776,310.652
ENSCAFT00000062915,6837,6567.476,0,0
ENSCAFT00000078039,13794,13524.476,0,0
ENSCAFT00000036277,13743,13473.476,0.009117,1.348
ENSCAFT00000074127,4561,4291.476,0,0
ENSCAFT00000081197,4666,4396.476,0,0
ENSCAFT00000082347,4627,4357.476,0,0
ENSCAFT00000082674,4600,4330.476,0,0
ENSCAFT00000030674,378,114.112,0,0
ENSCAFT00000063119,2043,1773.476,0.480418,9.348
ENSCAFT00000034761,107,107,0,0
ENSCAFT00000074304,3024,2754.476,0,0
ENSCAFT00000076443,243,31.083,0,0
ENSCAFT00000021869,450,181.913,6.421807,12.817
ENSCAFT00000033469,111,111,0,0
ENSCAFT00000045760,2662,2392.476,0,0
ENSCAFT00000090605,291,50.998,0,0
ENSCAFT00000084233,704,434.58,0,0
ENSCAFT00000046273,393,127.612,0,0
ENSCAFT00000021914,3952,3682.476,0,0
ENSCAFT00000040670,111,111,0,0
ENSCAFT00000038172,2009,1739.476,6.130677,117
ENSCAFT00000080428,1269,999.476,2.188668,24
ENSCAFT00000041945,103,103,0,0
ENSCAFT00000046125,846,576.498,0,0
ENSCAFT00000088500,555,285.869,0,0
ENSCAFT00000080115,85,85,0,0
ENSCAFT00000037291,3103,2833.476,0,0
ENSCAFT00000036384,9880,9610.476,0,0
ENSCAFT00000012925,759,489.538,0,0
ENSCAFT00000073306,1070,800.476,0,0
ENSCAFT00000071336,999,729.476,9.065528,72.554
ENSCAFT00000093046,393,127.612,0,0
ENSCAFT00000082431,306,59.505,0,0
ENSCAFT00000073935,1029,759.476,0,0
