,dog 1,,,,,,,,,,,,,,dog 2,,,,,,,,,,,,,,dog 3,,,,,,,,,,,,
CML-10C2,6.45,4.31,4.88,6.74,5.47,26454,8.42,6.21,1067,188.96,6.41,3248,9.33,,197,5.51,6.56,9.06,6.43,29376,11.82,6.18,895.15,2055,6.14,4589,243.63,,6.07,1.17,5.21,6.05,3.62,34269,6.34,6.3,959.04,73.58,6.05,4677,6.87
CML-6m,17.23,3.87,4.62,11.91,4.63,28536,7.16,6.21,1136,338.5,6.41,3977,26.67,,1074,1.61,6.56,11.33,6.43,29659,9.55,6.18,849.12,6196,6.14,4589,320.49,,6.07,1.17,5.21,23.11,4.08,52069,6.34,6.3,1122,135.42,6.05,4677,41.84
CMT12,58.22,7.45,4.88,21.02,5.05,26583,8.42,6.21,1130,726.43,6.41,4248,66.52,,171.14,1.61,6.56,6.82,6.43,32098,9.55,6.18,932.96,1929,6.14,4589,199.87,,9.14,1.17,5.21,48.7,3.62,49773,6.34,6.3,1080,246.59,6.05,4677,97.75
CMT27,63.7,5.21,5.66,13.61,5.47,26831,9.68,6.21,1281,612.85,6.41,4218,44.93,,120.91,1.61,6.56,6.48,6.43,16357,7.94,6.18,625.11,763.4,6.14,4589,76.6,,6.71,1.17,5.21,39.83,5.9,44233,6.73,6.3,1074,218.75,6.05,4677,72.52
CTAC,6.45,3.64,4.62,7.18,5.05,22542,7.79,6.21,1032,145.26,6.41,3007,7.34,,6.49,1.61,6.56,6.48,6.43,41370,9.88,6.18,1055,223.5,6.14,4589,30.05,,6.07,1.17,5.21,5.99,3.31,22747,6.34,6.3,789.51,62.52,6.05,3088,6.87
Denver,11.55,50.59,4.62,20.6,5.05,25165,9.05,6.21,1090,223.41,6.41,4024,70.05,,70.87,1.61,6.56,6.48,6.43,39057,8.26,6.18,931.84,459.74,6.14,4589,77.53,,6.07,1.17,5.21,6.27,3.31,27608,6.34,6.3,998.76,81.17,6.05,4325,6.87
DH82,14.67,3.42,4.62,10.41,4.63,19961,7.79,6.21,1069,243.91,6.41,2961,38.27,,410.41,1.61,6.56,6.48,6.43,36107,8.91,6.18,988.43,1734,6.14,4589,245.33,,6.07,1.17,5.21,25.72,4.08,28539,6.34,6.3,1046,165.94,6.05,4677,80.04
Gracie,14.67,3.64,4.62,6.64,4.63,22066,7.79,6.21,1118,162.41,6.41,2801,15.72,,1096,21.65,6.56,8.38,6.43,20459,10.2,6.18,1049,1109,6.14,4589,236.14,,6.07,1.17,5.21,12.38,3.62,47178,6.34,6.3,1048,154.87,6.05,4677,22.48
HMPOS,17.97,5.21,5.27,21.45,5.89,24541,10.3,6.21,1086,356.62,6.41,3341,58.52,,6.49,3.43,6.56,6.82,6.43,32191,8.26,6.18,971.81,95.71,6.14,4589,23.25,,6.07,1.17,5.21,6.05,3.31,22283,6.34,6.3,832.62,56.04,6.05,3501,6.87
Jones,6.45,3.2,4.62,6.74,4.21,22658,6.53,6.21,1093,97.38,6.41,3809,9.99,,6.49,1.61,6.56,6.48,6.43,35295,10.2,6.18,992.04,218.22,6.14,4589,39.37,,6.07,1.17,5.21,6.05,3.31,28578,6.34,6.3,937.2,62.82,6.05,4677,6.87
MacKinley,15.89,3.2,4.62,14.46,4.63,26430,7.16,6.21,1091,227.27,6.41,2730,41.92,,6.49,1.61,6.56,6.48,6.43,35049,7.29,6.18,976.53,117.6,6.14,4589,12.59,,6.07,1.17,5.21,5.99,3.31,22745,6.34,6.3,807.64,52.52,6.05,4677,6.87
Nike,26.86,4.09,4.88,10.2,5.47,26856,9.05,6.21,1196,423.94,6.41,3238,43.83,,999.78,2.02,6.56,18.24,6.43,43803,12.15,6.18,990.43,19763,6.14,4589,998.88,,6.07,1.17,5.21,30.29,3.31,35200,6.34,6.3,959.6,185.72,6.05,4677,57.52
Moresco,6.91,4.09,4.62,14.25,5.05,25911,8.11,6.21,1055,235.4,6.41,3228,25.62,,6.49,1.61,6.56,6.48,6.43,11580,5.78,6.18,572.44,31.94,6.14,4589,6.64,,6.07,1.17,5.21,13.92,3.39,35934,6.34,6.3,923.14,79.4,6.05,4677,9.08
OS2.4,6.45,2.97,4.62,6.64,4.21,18017,6.53,6.21,985.3,146.43,6.41,2585,6.02,,6.49,1.61,6.56,6.48,6.43,26448,6.97,6.18,966.46,182.32,6.14,4589,42.06,,6.07,1.17,5.21,6.27,3.31,18981,6.34,6.3,956.25,48.56,6.05,4677,6.87
OSA8,25.49,3.64,4.62,7.61,5.05,12579,6.85,6.21,1105,265.01,6.41,3088,36.44,,1673,1.73,6.56,25.33,6.43,32028,11.5,6.18,895.9,19763,6.14,4589,1372,,6.07,1.17,5.21,12.16,3.31,20985,6.34,6.3,1039,116.52,6.05,4677,20.26
Parks,7.94,3.42,4.62,7.4,4.63,22183,7.79,6.21,1172,192.5,6.41,3102,16.37,,25.78,1.61,6.56,6.48,6.43,37051,8.91,6.18,975.02,438.2,6.14,4589,70.03,,6.07,1.17,5.21,9.1,4.08,44175,6.34,6.3,1061,82.91,6.05,4677,8.67
STSA-1,6.45,4.09,4.62,6.64,4.21,14106,4.84,6.21,731.93,118.01,6.41,1854,16.15,,68.83,1.61,6.56,6.48,6.43,17530,6.33,6.18,741.16,765.74,6.14,4589,97.61,,6.07,1.17,5.21,19.18,3.39,39237,6.34,6.3,1011,134.09,6.05,4677,59.26
Vogel,6.45,3.42,4.62,6.64,2.89,7787,4.84,6.21,600.59,62.32,6.41,1930,5.64,,34.4,1.61,6.56,6.48,6.43,30828,7.61,6.18,991.02,487.12,6.14,4589,76.79,,6.07,1.17,5.21,6.27,3.31,20597,6.34,6.3,973.6,78.72,6.05,4677,6.87
Yamane,6.45,2.31,4.62,6.64,2.89,9303,4.84,6.21,821.43,95.54,6.41,2016,9.77,,52.3,1.61,6.56,6.48,6.43,36105,6.97,6.18,997.71,707.12,6.14,4589,97.97,,6.07,1.17,5.21,5.99,3.31,20333,6.34,6.3,900.4,70.45,6.05,4374,6.87
Ctrl,6.45,2.75,4.62,6.64,2.94,8502,4.84,6.21,607.33,56.87,6.41,1916,6.9,,6.49,1.61,6.56,6.48,6.43,22561,5.78,6.18,774.74,105.96,6.14,4589,6.64,,6.07,1.17,5.21,9.97,3.31,29578,6.34,6.3,939.54,82.65,6.05,4677,6.87
RPMI,6.45,1.28,4.62,6.64,2.89,7.02,4.84,6.21,5.75,7.8,6.41,6.78,5.64,,6.49,1.61,6.56,6.48,6.43,12.51,5.78,6.18,5.62,6.59,6.14,6.53,6.64,,6.07,1.17,5.21,5.99,3.31,6.84,6.34,6.3,<6.39↓,<8.12↓,6.05,6.77,6.87
